,F1_sum_vector_magnitude,F2_orientation_angle,F3_std_magnitude,Situation,window_start_index
0,142.37,1.44,257.78,Fall,0
1,878.11,0.81,740.91,Fall,100
2,1224.11,0.55,473.47,Fall,200
3,706.83,0.55,316.92,Fall,300
4,524.0,0.5,210.97,Fall,400
5,494.34,0.54,250.49,Fall,500
6,345.53,0.99,274.71,Fall,600
7,381.89,1.27,375.24,Fall,700
8,430.37,1.73,446.05,Fall,800
9,358.42,1.87,376.22,Fall,900
10,385.81,1.88,392.97,Fall,1000
11,452.58,2.34,369.29,Fall,1100
12,478.06,2.31,394.72,Fall,1200
13,433.62,2.03,397.48,Fall,1300
14,446.67,2.02,425.86,Fall,1400
15,487.61,1.86,520.51,Fall,1500
16,480.57,1.6,498.33,Fall,1600
17,399.53,2.03,383.16,Fall,1700
18,327.33,2.02,333.33,Fall,1800
19,302.05,1.76,328.47,Fall,1900
20,289.29,1.61,317.79,Fall,2000
21,441.46,1.83,502.43,Fall,2100
22,1194.26,1.81,1080.34,Fall,2200
23,1977.72,1.67,1733.21,Fall,2300
24,2036.04,1.47,2223.62,Fall,2400
25,1304.49,1.24,1482.27,Fall,2500
26,460.4,1.83,462.49,Fall,2600
27,168.1,2.14,165.91,Fall,2700
28,113.4,2.31,63.02,Fall,2800
29,109.86,1.66,100.64,Fall,2900
30,196.43,0.68,190.93,Fall,3000
31,295.44,1.13,285.97,Fall,3100
32,332.02,1.46,351.06,Fall,3200
33,347.47,1.48,379.76,Fall,3300
34,404.94,1.49,438.49,Fall,3400
35,433.35,1.64,463.62,Fall,3500
36,348.41,1.66,371.72,Fall,3600
37,434.66,1.8,448.98,Fall,3700
38,591.32,1.72,613.02,Fall,3800
39,891.39,1.01,771.7,Fall,3900
40,2073.32,1.1,1805.88,Fall,4000
41,1753.76,1.16,1980.55,Fall,4100
42,376.79,1.71,409.02,Fall,4200
43,284.9,2.24,284.66,Fall,4300
44,211.57,1.94,214.37,Fall,4400
45,100.12,1.72,63.11,Fall,4500
46,80.22,1.65,39.11,Fall,4600
47,62.39,1.7,10.22,Fall,4700
48,60.0,1.72,7.84,Fall,4800
49,60.9,1.72,5.63,Fall,4900
50,57.81,1.72,4.88,Fall,5000
51,58.23,1.73,5.16,Fall,5100
52,61.28,1.73,6.1,Fall,5200
53,59.86,1.7,12.45,Fall,5300
54,47.83,1.69,26.37,Fall,5400
55,48.27,1.67,27.49,Fall,5500
56,51.04,1.69,15.79,Fall,5600
57,50.6,1.73,10.2,Fall,5700
58,59.28,1.7,10.89,Fall,5800
59,155.8,2.0,143.26,Fall,5900
60,336.9,2.43,234.37,Fall,6000
61,471.85,2.55,191.82,Fall,6100
62,519.75,2.62,251.83,Fall,6200
63,423.85,1.98,417.83,Fall,6300
64,323.33,1.26,350.13,Fall,6400
65,392.57,1.13,394.28,Fall,6500
66,391.92,1.0,362.74,Fall,6600
67,358.76,1.04,339.74,Fall,6700
68,355.68,1.06,341.43,Fall,6800
69,315.7,1.27,348.86,Fall,6900
70,355.58,1.23,374.53,Fall,7000
71,471.41,1.2,443.35,Fall,7100
72,797.58,1.14,812.36,Fall,7200
73,1919.19,0.92,1604.97,Fall,7300
74,1742.32,0.89,1762.54,Fall,7400
75,618.02,1.21,517.07,Fall,7500
76,332.24,1.87,383.56,Fall,7600
77,98.79,1.85,86.93,Fall,7700
78,68.16,1.74,35.73,Fall,7800
79,56.08,1.8,11.47,Fall,7900
80,56.42,1.71,7.58,Fall,8000
81,55.97,1.7,7.19,Fall,8100
82,55.65,1.65,7.14,Fall,8200
83,57.3,1.61,7.03,Fall,8300
84,56.26,1.7,7.47,Fall,8400
85,54.44,1.74,4.75,Fall,8500
86,55.63,1.68,4.37,Fall,8600
87,54.98,1.71,5.02,Fall,8700
88,54.94,1.76,16.33,Fall,8800
89,274.38,2.03,339.12,Fall,8900
90,616.29,2.5,404.94,Fall,9000
91,786.89,2.67,387.61,Fall,9100
92,724.64,2.63,424.4,Fall,9200
93,512.08,2.02,445.08,Fall,9300
94,426.73,1.84,427.12,Fall,9400
95,439.19,2.13,410.4,Fall,9500
96,547.06,2.29,425.39,Fall,9600
