,F1_sum_vector_magnitude,F2_orientation_angle,F3_std_magnitude,Situation,window_start_index
0,519.02,0.35,47.94,Fall,0
1,669.29,0.41,154.97,Fall,100
2,750.06,0.47,106.33,Fall,200
3,645.85,0.45,83.64,Fall,300
4,601.84,0.4,59.58,Fall,400
5,596.51,0.38,70.88,Fall,500
6,558.97,0.45,98.21,Fall,600
7,548.83,0.48,123.49,Fall,700
8,518.06,0.4,139.35,Fall,800
9,494.71,0.41,126.91,Fall,900
10,487.13,0.38,129.11,Fall,1000
11,452.96,0.39,144.97,Fall,1100
12,441.59,0.43,159.86,Fall,1200
13,453.96,0.42,149.07,Fall,1300
14,471.86,0.45,152.99,Fall,1400
15,501.28,0.48,159.79,Fall,1500
16,503.44,0.46,134.9,Fall,1600
17,481.33,0.46,119.23,Fall,1700
18,503.81,0.5,133.52,Fall,1800
19,507.9,0.46,143.83,Fall,1900
20,521.91,0.45,177.67,Fall,2000
21,499.27,0.53,207.07,Fall,2100
22,526.59,0.83,276.06,Fall,2200
23,675.95,1.66,578.13,Fall,2300
24,734.12,1.98,661.99,Fall,2400
25,626.25,1.75,433.63,Fall,2500
26,526.97,1.76,82.54,Fall,2600
27,516.69,1.73,47.07,Fall,2700
28,512.44,1.7,23.67,Fall,2800
29,507.93,1.04,319.08,Fall,2900
30,531.1,0.35,83.58,Fall,3000
31,548.53,0.39,117.55,Fall,3100
32,552.3,0.46,152.22,Fall,3200
33,532.96,0.44,150.9,Fall,3300
34,529.72,0.44,163.14,Fall,3400
35,522.7,0.42,184.67,Fall,3500
36,505.25,0.38,176.61,Fall,3600
37,488.94,0.42,195.3,Fall,3700
38,522.6,0.49,205.21,Fall,3800
39,562.44,0.63,234.72,Fall,3900
40,759.47,0.94,678.9,Fall,4000
41,731.1,1.3,626.69,Fall,4100
42,494.81,1.47,87.39,Fall,4200
43,507.83,1.45,67.45,Fall,4300
44,507.45,1.46,66.77,Fall,4400
45,509.41,1.51,19.9,Fall,4500
46,507.84,1.52,11.99,Fall,4600
47,507.69,1.52,3.99,Fall,4700
48,507.94,1.53,2.47,Fall,4800
49,508.39,1.54,2.43,Fall,4900
50,508.27,1.54,2.01,Fall,5000
51,508.18,1.54,1.87,Fall,5100
52,508.07,1.55,2.35,Fall,5200
53,507.96,1.55,3.09,Fall,5300
54,508.09,1.55,5.85,Fall,5400
55,508.55,1.54,6.89,Fall,5500
56,508.93,1.54,3.77,Fall,5600
57,508.1,1.54,2.93,Fall,5700
58,507.72,1.54,2.69,Fall,5800
59,482.8,0.93,377.51,Fall,5900
60,445.25,0.28,85.26,Fall,6000
61,420.01,0.26,58.8,Fall,6100
62,419.96,0.34,93.53,Fall,6200
63,491.07,0.39,134.36,Fall,6300
64,538.71,0.36,130.29,Fall,6400
65,552.09,0.37,151.03,Fall,6500
66,559.67,0.35,163.87,Fall,6600
67,543.35,0.33,155.38,Fall,6700
68,544.77,0.34,161.17,Fall,6800
69,521.85,0.34,155.31,Fall,6900
70,527.52,0.39,136.57,Fall,7000
71,572.6,0.5,146.11,Fall,7100
72,534.79,0.68,271.73,Fall,7200
73,728.58,0.73,701.27,Fall,7300
74,720.21,1.11,683.28,Fall,7400
75,460.21,1.5,136.24,Fall,7500
76,487.24,1.47,113.83,Fall,7600
77,515.2,1.46,28.29,Fall,7700
78,511.9,1.45,11.89,Fall,7800
79,512.25,1.45,3.63,Fall,7900
80,511.92,1.45,2.78,Fall,8000
81,512.33,1.45,2.43,Fall,8100
82,512.23,1.45,2.48,Fall,8200
83,511.72,1.45,3.48,Fall,8300
84,512.21,1.45,2.29,Fall,8400
85,512.47,1.45,1.45,Fall,8500
86,511.94,1.45,1.7,Fall,8600
87,512.05,1.45,2.01,Fall,8700
88,512.15,1.45,1.67,Fall,8800
89,485.33,0.91,377.34,Fall,8900
90,413.58,0.36,152.77,Fall,9000
91,367.34,0.42,153.47,Fall,9100
92,383.69,0.45,167.94,Fall,9200
93,449.08,0.39,158.13,Fall,9300
94,490.48,0.39,187.99,Fall,9400
95,472.6,0.37,191.43,Fall,9500
96,438.8,0.38,181.84,Fall,9600
97,429.13,0.39,186.91,Fall,9700
98,441.38,0.41,196.02,Fall,9800
99,456.28,0.41,201.59,Fall,9900
100,483.24,0.4,194.54,Fall,10000
101,498.6,0.42,191.83,Fall,10100
102,505.61,0.44,195.6,Fall,10200
103,516.84,0.53,210.51,Fall,10300
104,494.82,0.66,210.72,Fall,10400
105,508.33,0.92,271.41,Fall,10500
106,695.85,1.57,706.97,Fall,10600
107,691.51,1.88,565.72,Fall,10700
108,528.73,1.7,97.22,Fall,10800
109,513.49,1.67,12.28,Fall,10900
110,512.88,1.66,3.99,Fall,11000
111,513.04,1.66,3.58,Fall,11100
112,512.93,1.65,1.86,Fall,11200
113,512.75,1.65,1.27,Fall,11300
114,512.84,1.65,1.12,Fall,11400
115,512.92,1.65,1.21,Fall,11500
116,512.84,1.65,1.12,Fall,11600
117,512.77,1.65,1.09,Fall,11700
118,512.73,1.65,1.27,Fall,11800
119,504.18,1.06,287.52,Fall,11900
120,473.24,0.44,90.62,Fall,12000
121,430.94,0.4,130.77,Fall,12100
122,439.78,0.51,194.72,Fall,12200
123,436.27,0.62,223.92,Fall,12300
124,412.21,0.72,284.42,Fall,12400
125,487.27,0.73,346.49,Fall,12500
126,491.0,0.67,338.53,Fall,12600
127,414.72,0.76,327.67,Fall,12700
128,464.8,0.78,341.39,Fall,12800
129,455.73,0.74,341.27,Fall,12900
130,407.16,0.76,311.87,Fall,13000
131,512.57,0.73,344.34,Fall,13100
132,504.99,0.73,379.16,Fall,13200
133,581.61,0.83,411.59,Fall,13300
134,763.05,0.99,632.4,Fall,13400
135,809.9,1.72,827.31,Fall,13500
136,829.2,2.32,717.37,Fall,13600
137,696.9,2.07,443.87,Fall,13700
138,547.63,1.84,92.51,Fall,13800
139,518.79,1.88,19.55,Fall,13900
140,520.68,1.89,6.33,Fall,14000
141,523.17,1.9,2.95,Fall,14100
142,522.54,1.9,3.04,Fall,14200
143,520.59,1.9,4.14,Fall,14300
144,521.6,1.9,4.19,Fall,14400
145,522.97,1.9,2.88,Fall,14500
146,520.96,1.9,3.86,Fall,14600
147,520.89,1.9,3.9,Fall,14700
148,523.1,1.9,2.62,Fall,14800
149,508.41,1.14,377.17,Fall,14900
150,526.55,0.35,107.75,Fall,15000
151,560.71,0.46,247.96,Fall,15100
152,512.56,0.63,315.77,Fall,15200
153,556.19,0.64,342.2,Fall,15300
154,565.92,0.68,372.62,Fall,15400
155,473.71,0.81,371.34,Fall,15500
156,513.48,0.79,375.64,Fall,15600
157,489.9,0.82,389.19,Fall,15700
158,461.23,0.91,402.82,Fall,15800
159,499.85,0.78,373.1,Fall,15900
160,466.54,0.84,379.63,Fall,16000
161,581.46,0.82,421.52,Fall,16100
162,751.09,0.98,629.11,Fall,16200
163,811.17,1.63,821.92,Fall,16300
164,870.28,2.23,755.23,Fall,16400
165,739.43,2.22,521.76,Fall,16500
166,549.27,1.91,129.22,Fall,16600
167,518.86,1.88,32.63,Fall,16700
168,520.8,1.88,4.7,Fall,16800
169,521.14,1.89,4.44,Fall,16900
170,522.51,1.89,2.97,Fall,17000
171,521.91,1.89,2.37,Fall,17100
172,521.75,1.89,1.99,Fall,17200
173,522.11,1.89,1.58,Fall,17300
174,522.48,1.89,1.79,Fall,17400
175,522.9,1.89,2.15,Fall,17500
176,522.84,1.89,3.45,Fall,17600
177,522.15,1.89,3.26,Fall,17700
178,520.68,1.89,2.56,Fall,17800
179,507.71,1.19,349.4,Fall,17900
180,473.47,0.47,82.91,Fall,18000
181,401.48,0.46,148.6,Fall,18100
182,376.09,0.61,223.33,Fall,18200
183,433.8,0.72,266.16,Fall,18300
184,432.4,0.71,286.87,Fall,18400
185,456.24,0.72,317.66,Fall,18500
186,476.63,0.7,322.69,Fall,18600
187,449.63,0.76,330.95,Fall,18700
188,492.58,0.73,349.29,Fall,18800
189,441.66,0.79,363.79,Fall,18900
190,502.81,0.83,377.49,Fall,19000
191,694.43,0.97,551.3,Fall,19100
192,776.94,1.55,769.01,Fall,19200
193,850.09,2.15,836.97,Fall,19300
194,743.46,2.14,536.97,Fall,19400
195,559.77,1.86,129.72,Fall,19500
196,520.59,1.85,13.42,Fall,19600
197,520.7,1.85,6.58,Fall,19700
198,521.96,1.86,5.1,Fall,19800
199,522.51,1.86,2.08,Fall,19900
200,522.03,1.86,1.85,Fall,20000
201,521.56,1.86,2.56,Fall,20100
202,521.48,1.86,2.94,Fall,20200
